product_id,product_name,category,subcategory,total_orders,units_sold,total_revenue,total_profit
P00067,Dumbbells 67,Fitness,Dumbbells,441,1139,181342.22,51769.579999999994
P00075,Bottle 75,Fitness,Bottle,433,1076,180052.8,60294.0
P00094,Tea 94,Grocery,Tea,427,1098,178873.9,50836.11999999999
P00089,Cereal 89,Grocery,Cereal,444,1111,178337.56,83447.05
P00086,Coffee 86,Grocery,Coffee,445,1132,177724.26,41318.26
P00039,Lamp 39,Home,Lamp,435,1100,176096.4,64171.40000000001
P00014,Keyboard 14,Electronics,Keyboard,456,1130,171041.24000000002,52176.54000000001
P00051,Body Care 51,Beauty,Body Care,459,1131,163082.66,75814.70000000001
P00005,Speaker 5,Electronics,Speaker,458,1095,162372.03,82163.27999999998
P00073,Bottle 73,Fitness,Bottle,479,1207,158699.56000000003,76285.60000000002
P00096,Coffee 96,Grocery,Coffee,483,1229,155367.94999999998,77019.19999999998
P00099,Tea 99,Grocery,Tea,433,1063,143194.93000000002,66860.90000000001
P00025,Lamp 25,Home,Lamp,429,1048,135375.46999999997,42847.54999999998
P00071,Resistance Band 71,Fitness,Resistance Band,440,1084,130328.37,48096.12999999999
P00048,Fragrance 48,Beauty,Fragrance,459,1100,124748.73999999999,31776.739999999994
P00037,Desk 37,Home,Desk,443,1108,119694.36,38899.0
P00027,Pillow 27,Home,Pillow,428,1053,117670.56,44781.899999999994
P00023,Desk 23,Home,Desk,443,1106,112779.76999999999,21623.249999999993
P00043,Makeup 43,Beauty,Makeup,466,1171,106957.02,22328.850000000013
P00064,Bottle 64,Fitness,Bottle,417,1033,104550.23000000001,38903.08000000001
P00017,Speaker 17,Electronics,Speaker,418,1051,102140.29,37230.52999999999
P00026,Desk 26,Home,Desk,404,1031,97666.66,30445.46
P00013,Mouse 13,Electronics,Mouse,444,1169,97570.99,36151.73000000001
P00076,Resistance Band 76,Fitness,Resistance Band,442,1081,96096.14,44370.28999999999
P00003,Speaker 3,Electronics,Speaker,420,1042,95498.8,38147.12
P00091,Protein Bar 91,Grocery,Protein Bar,435,1086,93565.3,27840.58
P00077,Dumbbells 77,Fitness,Dumbbells,455,1157,92664.29000000001,31424.280000000002
P00015,Smart Watch 15,Electronics,Smart Watch,415,1033,87008.23,34914.04
P00081,Snacks 81,Grocery,Snacks,457,1121,86765.37,39515.22
P00041,Skin Care 41,Beauty,Skin Care,444,1147,86623.15000000001,29330.5
P00050,Fragrance 50,Beauty,Fragrance,479,1209,86236.32,32036.850000000006
P00042,Fragrance 42,Beauty,Fragrance,479,1212,81874.04000000001,36678.56000000001
P00022,Storage Box 22,Home,Storage Box,449,1166,75969.55,38949.049999999996
P00070,Yoga Mat 70,Fitness,Yoga Mat,468,1153,71429.04,20201.249999999996
P00029,Lamp 29,Home,Lamp,460,1132,65263.03,12036.389999999994
P00032,Desk 32,Home,Desk,462,1199,64211.92999999999,12259.259999999997
P00046,Hair Care 46,Beauty,Hair Care,440,1081,63215.64,22645.709999999995
P00028,Desk 28,Home,Desk,470,1175,60642.36,28658.860000000004
P00033,Lamp 33,Home,Lamp,451,1127,60141.990000000005,27582.960000000003
P00066,Dumbbells 66,Fitness,Dumbbells,443,1123,57544.86,13725.399999999996
P00095,Protein Bar 95,Grocery,Protein Bar,412,1020,56923.22,25180.82
P00049,Makeup 49,Beauty,Makeup,429,1075,56640.94,13006.689999999999
P00059,Fragrance 59,Beauty,Fragrance,491,1207,54573.27,9745.289999999999
P00016,Speaker 16,Electronics,Speaker,440,1122,53401.4,15073.880000000005
P00097,Snacks 97,Grocery,Snacks,421,1002,52626.38999999999,16895.07
P00034,Cookware 34,Home,Cookware,425,1046,44949.740000000005,21132.320000000003
P00024,Storage Box 24,Home,Storage Box,465,1110,43800.590000000004,16860.890000000003
P00078,Yoga Mat 78,Fitness,Yoga Mat,480,1202,42828.38,21468.84
P00085,Snacks 85,Grocery,Snacks,445,1098,40446.899999999994,18497.879999999997
P00083,Protein Bar 83,Grocery,Protein Bar,492,1160,38312.43,19764.03
P00082,Coffee 82,Grocery,Coffee,457,1170,23930.43,9644.73
P00053,Skin Care 53,Beauty,Skin Care,479,1243,22996.52,10877.27
P00047,Hair Care 47,Beauty,Hair Care,489,1248,17402.17,5059.449999999998
P00068,Dumbbells 68,Fitness,Dumbbells,443,1104,11242.67,3669.23
