order_date,total_orders,total_customers,units_sold,total_revenue,total_profit,average_order_value
2025-02-24,22,22,153,22733.29,8266.31,1033.3313636363637
2025-02-25,35,35,210,30887.29,12098.66,882.494
2025-02-26,24,24,172,27737.4,10353.77,1155.7250000000001
2025-02-27,34,34,218,31772.33,11683.61,934.4802941176471
2025-02-28,28,28,152,20473.32,7408.13,731.1899999999999
2025-03-01,21,21,142,22410.55,8946.960000000001,1067.1690476190477
2025-03-02,29,29,222,33951.36,12207.61,1170.736551724138
2025-03-03,41,41,294,42083.0,15847.44,1026.4146341463415
2025-03-04,32,32,199,31577.64,12158.23,986.80125
2025-03-05,32,32,214,32383.31,11968.08,1011.9784375
2025-03-06,33,33,215,32262.43,12216.34,977.6493939393939
2025-03-07,26,26,161,26493.42,10809.62,1018.9776923076922
2025-03-08,21,20,112,19975.84,7236.91,951.2304761904762
2025-03-09,31,31,177,24454.44,9138.880000000001,788.8529032258064
2025-03-10,24,24,137,20789.46,8086.58,866.2275
2025-03-11,25,25,142,19364.65,7451.65,774.586
2025-03-12,30,30,183,25059.09,9076.09,835.303
2025-03-13,20,20,121,19398.68,7518.01,969.934
2025-03-14,32,32,185,31061.06,12473.98,970.658125
2025-03-15,21,21,135,21502.12,7793.83,1023.9104761904762
2025-03-16,32,32,208,31437.35,11503.33,982.4171875
2025-03-17,33,33,187,29595.22,10821.06,896.8248484848485
2025-03-18,40,40,248,36798.53,13961.11,919.96325
2025-03-19,24,24,157,25264.53,9744.06,1052.68875
2025-03-20,24,24,155,24064.97,8627.84,1002.7070833333333
2025-03-21,29,29,197,27399.94,9144.81,944.8255172413793
2025-03-22,36,35,194,33024.99,12465.95,917.3608333333333
2025-03-23,27,27,185,27700.55,9566.849999999999,1025.9462962962962
2025-03-24,30,30,225,35074.45,13039.76,1169.1483333333333
2025-03-25,20,20,102,16835.21,6163.5,841.7605
2025-03-26,27,27,160,29424.22,11321.4,1089.785925925926
2025-03-27,28,28,186,32153.14,12360.17,1148.3264285714286
2025-03-28,37,37,258,39640.56,14881.24,1071.3664864864863
2025-03-29,30,30,170,23664.97,8933.35,788.8323333333334
2025-03-30,28,28,197,29466.13,11498.76,1052.3617857142858
2025-03-31,35,35,205,32580.68,13264.38,930.8765714285714
2025-04-01,33,33,180,29040.66,10135.05,880.02
2025-04-02,44,44,231,35897.71,13279.88,815.8570454545454
2025-04-03,29,29,169,27219.63,10624.63,938.6079310344828
2025-04-04,24,24,138,20514.78,7788.5199999999995,854.7824999999999
2025-04-05,31,31,194,31441.89,12167.82,1014.2545161290323
2025-04-06,33,33,178,26110.58,9482.89,791.229696969697
2025-04-07,19,19,111,20087.48,7861.8099999999995,1057.2357894736842
2025-04-08,22,22,158,27352.96,10264.58,1243.3163636363636
2025-04-09,31,31,205,30199.61,12032.14,974.1809677419355
2025-04-10,26,26,184,29097.78,10989.78,1119.1453846153845
2025-04-11,25,25,161,24726.13,9064.87,989.0452
2025-04-12,35,35,219,30904.43,10918.06,882.9837142857143
2025-04-13,38,38,243,37538.12,14731.68,987.8452631578948
2025-04-14,25,25,145,21587.35,8029.25,863.4939999999999
2025-04-15,36,36,252,42403.47,16949.35,1177.8741666666667
2025-04-16,27,27,210,29128.77,11145.2,1078.8433333333332
2025-04-17,29,29,179,28196.94,10912.62,972.308275862069
2025-04-18,49,49,303,49899.3,19123.579999999998,1018.3530612244898
2025-04-19,19,19,134,21671.29,8991.44,1140.594210526316
2025-04-20,28,28,160,25210.62,9495.119999999999,900.3792857142856
2025-04-21,25,25,178,26726.21,10254.44,1069.0484
2025-04-22,31,31,213,31622.05,11517.91,1020.066129032258
2025-04-23,33,33,200,28374.97,10715.35,859.8475757575758
2025-04-24,26,26,165,23316.07,8773.300000000001,896.771923076923
2025-04-25,27,27,181,25272.95,9425.77,936.0351851851852
2025-04-26,22,22,135,20498.53,8310.08,931.7513636363636
2025-04-27,24,24,126,20629.5,7893.780000000001,859.5625
2025-04-28,34,34,196,34756.55,14603.31,1022.2514705882354
2025-04-29,30,30,187,32200.71,12648.69,1073.357
2025-04-30,21,21,112,18711.43,7541.950000000001,891.0204761904762
2025-05-01,28,28,157,29449.09,11834.2,1051.7532142857142
2025-05-02,28,28,190,34339.41,13566.65,1226.4075
2025-05-03,34,34,196,28798.53,10955.78,847.0155882352941
2025-05-04,24,24,140,19420.29,6983.5,809.17875
2025-05-05,30,30,184,26085.54,9625.66,869.518
2025-05-06,33,33,169,26343.96,9943.85,798.3018181818181
2025-05-07,28,28,182,24482.99,9341.380000000001,874.3925
2025-05-08,21,21,105,16422.99,6546.91,782.047142857143
2025-05-09,25,25,139,21859.93,8683.94,874.3972
2025-05-10,26,26,137,19127.55,6820.45,735.675
2025-05-11,36,36,204,31652.15,11984.34,879.2263888888889
2025-05-12,27,27,191,29013.73,11561.24,1074.5825925925926
2025-05-13,33,33,194,28329.51,10442.6,858.4699999999999
2025-05-14,36,35,261,41445.92,15215.53,1151.2755555555555
2025-05-15,25,25,132,19459.96,7235.97,778.3983999999999
2025-05-16,19,19,85,13447.18,4912.11,707.7463157894737
2025-05-17,21,21,121,17562.100000000002,6661.860000000001,836.2904761904763
2025-05-18,31,30,204,29477.8,10749.24,950.8967741935484
2025-05-19,32,32,239,34974.35,12072.85,1092.9484375
2025-05-20,18,18,103,14581.47,5820.64,810.0816666666666
2025-05-21,32,32,193,34566.77,13763.47,1080.2115625
2025-05-22,31,31,182,29799.32,11850.23,961.2683870967742
2025-05-23,35,35,193,30727.63,11363.57,877.9322857142857
2025-05-24,25,25,156,24766.329999999998,9900.859999999999,990.6532
2025-05-25,28,28,163,27869.92,10550.49,995.3542857142857
2025-05-26,31,31,188,26214.64,9726.61,845.6335483870968
2025-05-27,28,28,129,19772.79,7325.28,706.1710714285715
2025-05-28,30,29,173,24929.28,9469.95,830.976
2025-05-29,31,31,196,32900.73,13235.41,1061.313870967742
2025-05-30,28,28,193,28825.45,10885.84,1029.4803571428572
2025-05-31,23,23,152,23849.03,9190.83,1036.914347826087
2025-06-01,26,26,186,28263.66,10789.26,1087.063846153846
2025-06-02,29,29,183,28585.16,11323.9,985.6951724137931
2025-06-03,30,30,194,31607.87,12232.45,1053.5956666666666
2025-06-04,29,29,195,32455.59,12767.23,1119.1582758620689
2025-06-05,22,22,132,20028.29,7100.87,910.3768181818182
2025-06-06,24,24,175,26634.83,10249.3,1109.7845833333333
2025-06-07,28,28,150,23885.84,9883.23,853.0657142857143
2025-06-08,33,33,201,30927.01,12400.99,937.1821212121212
2025-06-09,30,30,158,24042.37,9098.29,801.4123333333333
2025-06-10,40,40,278,40474.82,15360.609999999999,1011.8705
2025-06-11,30,30,174,23129.83,8502.94,770.9943333333334
2025-06-12,38,38,229,38397.81,14432.789999999999,1010.4686842105262
2025-06-13,33,33,175,23836.35,8787.88,722.3136363636363
2025-06-14,25,24,133,20666.1,7929.7,826.6439999999999
2025-06-15,22,22,135,18864.69,7236.5,857.485909090909
2025-06-16,28,27,170,27449.75,10012.7,980.3482142857143
2025-06-17,32,32,214,33223.15,12751.79,1038.2234375
2025-06-18,33,33,216,35011.72,13895.19,1060.9612121212122
2025-06-19,26,26,185,27717.62,10818.54,1066.0623076923077
2025-06-20,31,31,193,30694.19,11506.85,990.1351612903226
2025-06-21,30,30,194,29828.66,11548.5,994.2886666666667
2025-06-22,21,21,130,21562.41,8549.21,1026.7814285714285
2025-06-23,27,27,195,30473.3,12729.77,1128.6407407407407
2025-06-24,34,34,222,36738.89,14223.17,1080.5555882352942
2025-06-25,31,30,182,28230.74,10499.03,910.6690322580646
2025-06-26,27,27,145,21848.94,7974.57,809.2199999999999
2025-06-27,30,30,194,31380.15,12558.43,1046.005
2025-06-28,36,36,237,37901.27,14151.550000000001,1052.8130555555554
2025-06-29,26,26,159,27051.83,11274.66,1040.4550000000002
2025-06-30,33,33,205,34887.87,13559.43,1057.2081818181819
2025-07-01,30,30,195,26751.52,10336.380000000001,891.7173333333334
2025-07-02,33,33,201,34671.78,13105.21,1050.6599999999999
2025-07-03,20,20,131,22469.74,8523.28,1123.487
2025-07-04,29,29,166,26647.4,10782.76,918.8758620689656
2025-07-05,22,22,176,28219.95,10937.730000000001,1282.7250000000001
2025-07-06,25,25,139,22711.13,9291.56,908.4452
2025-07-07,38,37,254,39845.44,15554.55,1048.564210526316
2025-07-08,41,41,244,36529.54,14314.1,890.9643902439025
2025-07-09,32,32,206,29257.38,11058.7,914.293125
2025-07-10,28,28,141,24223.25,9942.18,865.1160714285714
2025-07-11,25,25,156,27335.14,11086.45,1093.4056
2025-07-12,26,26,160,25108.61,8657.73,965.7157692307693
2025-07-13,29,29,162,21428.97,8434.42,738.9300000000001
2025-07-14,28,28,182,27499.72,10839.15,982.1328571428572
2025-07-15,31,31,179,28808.93,10921.02,929.3203225806452
2025-07-16,30,30,189,29437.4,11312.57,981.2466666666667
2025-07-17,32,32,199,32971.04,12506.54,1030.345
2025-07-18,37,36,260,41238.91,16598.78,1114.5651351351353
2025-07-19,30,30,190,29878.77,11703.5,995.9590000000001
2025-07-20,28,28,171,25137.489999999998,9327.8,897.7674999999999
2025-07-21,22,22,113,18142.37,7490.0,824.6531818181818
2025-07-22,31,31,222,36645.68,13827.42,1182.1187096774195
2025-07-23,29,29,168,24401.170000000002,8856.560000000001,841.4196551724139
2025-07-24,27,27,149,25461.87,10270.02,943.0322222222222
2025-07-25,31,31,214,34064.45,13594.85,1098.8532258064515
2025-07-26,33,33,206,31548.7,11991.81,956.0212121212121
2025-07-27,29,29,190,28939.68,11343.14,997.92
2025-07-28,30,29,202,32948.57,13350.210000000001,1098.2856666666667
2025-07-29,28,28,169,25975.69,10047.84,927.7032142857142
2025-07-30,28,28,154,24111.29,9136.31,861.1175000000001
2025-07-31,26,26,138,22371.13,8055.849999999999,860.428076923077
2025-08-01,30,30,182,27381.61,10278.52,912.7203333333333
2025-08-02,25,25,155,21580.02,8092.5599999999995,863.2008000000001
2025-08-03,25,25,153,23984.75,8909.96,959.39
2025-08-04,19,19,136,21633.75,8227.07,1138.6184210526317
2025-08-05,35,34,245,39571.06,14679.6,1130.6017142857143
2025-08-06,24,24,174,25369.48,9729.7,1057.0616666666667
2025-08-07,34,34,215,32337.34,12207.15,951.0982352941177
2025-08-08,19,19,118,15969.3,5816.679999999999,840.4894736842105
2025-08-09,28,28,146,20492.43,7477.11,731.8725000000001
2025-08-10,33,32,199,32683.91,12882.85,990.4215151515151
2025-08-11,28,28,149,22913.86,8408.6,818.3521428571429
2025-08-12,28,28,157,24637.19,9464.65,879.8996428571428
2025-08-13,30,30,150,27244.67,10846.08,908.1556666666667
2025-08-14,26,26,165,24411.93,9805.32,938.9203846153846
2025-08-15,19,19,115,16353.71,6372.9,860.7215789473684
2025-08-16,30,30,188,31092.87,11445.32,1036.4289999999999
2025-08-17,26,26,172,27062.87,9997.07,1040.8796153846154
2025-08-18,25,25,140,21760.85,8020.25,870.434
2025-08-19,31,31,181,28918.46,10674.1,932.8535483870968
2025-08-20,35,35,231,39806.82,16132.83,1137.3377142857144
2025-08-21,32,32,180,26551.92,10324.720000000001,829.7475
2025-08-22,28,28,201,31730.96,12535.64,1133.2485714285715
2025-08-23,14,14,95,14969.1,5678.31,1069.2214285714285
2025-08-24,35,35,201,30992.19,11892.07,885.4911428571428
2025-08-25,34,33,201,32609.85,13383.6,959.1132352941177
2025-08-26,22,22,133,23226.96,9175.460000000001,1055.770909090909
2025-08-27,30,30,197,27577.71,10196.68,919.257
2025-08-28,31,31,199,30464.9,11565.37,982.7387096774194
2025-08-29,23,23,135,19005.71,7137.32,826.3352173913044
2025-08-30,27,27,190,27505.82,10589.61,1018.7340740740741
2025-08-31,25,25,125,20606.13,8544.18,824.2452000000001
2025-09-01,40,39,244,35454.05,13603.33,886.35125
2025-09-02,29,29,146,25648.58,10291.77,884.4337931034484
2025-09-03,24,24,153,21864.68,8161.93,911.0283333333333
2025-09-04,40,40,264,42509.89,17091.04,1062.74725
2025-09-05,31,31,233,36892.29,14518.49,1190.0738709677419
2025-09-06,33,33,222,32145.44,11936.71,974.1042424242423
2025-09-07,30,29,144,22381.72,9192.08,746.0573333333334
2025-09-08,23,23,129,18494.42,6772.34,804.1052173913042
2025-09-09,29,29,197,32240.88,12919.29,1111.7544827586207
2025-09-10,21,20,138,21340.21,8023.43,1016.2004761904761
2025-09-11,29,29,198,27169.42,10372.36,936.8765517241379
2025-09-12,20,20,103,15718.61,5949.570000000001,785.9305
2025-09-13,30,30,174,29887.19,11876.04,996.2396666666666
2025-09-14,25,25,176,27432.0,11360.91,1097.28
2025-09-15,29,29,167,25557.079999999998,9689.77,881.2786206896551
2025-09-16,38,38,231,33982.52,12698.54,894.2768421052631
2025-09-17,37,37,239,38107.6,14715.560000000001,1029.9351351351352
2025-09-18,47,47,334,51182.38,19890.940000000002,1088.9868085106382
2025-09-19,27,27,161,22860.67,8304.9,846.6914814814814
2025-09-20,36,35,208,29866.84,11408.039999999999,829.6344444444444
2025-09-21,26,26,140,21990.77,8058.61,845.7988461538462
2025-09-22,34,34,184,26791.37,9988.53,787.9814705882353
2025-09-23,30,30,190,30033.170000000002,11136.83,1001.1056666666667
2025-09-24,24,24,136,21251.02,8115.530000000001,885.4591666666666
2025-09-25,27,27,149,22202.96,7990.0,822.3318518518519
2025-09-26,31,31,171,25543.29,9668.12,823.9770967741936
2025-09-27,35,34,210,32088.16,12242.87,916.8045714285714
2025-09-28,23,23,167,25276.97,9692.45,1098.9986956521739
2025-09-29,30,30,197,33682.28,13019.07,1122.7426666666665
2025-09-30,27,27,160,26187.42,10114.369999999999,969.9044444444444
2025-10-01,26,26,161,25981.6,10035.380000000001,999.2923076923076
2025-10-02,24,24,153,21458.93,7942.49,894.1220833333333
2025-10-03,32,32,213,32857.159999999996,12438.0,1026.7862499999999
2025-10-04,28,28,167,25055.07,9978.56,894.8239285714286
2025-10-05,33,33,185,27197.82,9676.77,824.1763636363636
2025-10-06,35,35,232,37408.47,14337.19,1068.8134285714286
2025-10-07,28,28,163,26557.47,9942.7,948.4810714285715
2025-10-08,31,31,178,27067.16,10003.93,873.1341935483871
2025-10-09,20,20,151,22504.33,7812.639999999999,1125.2165
2025-10-10,27,27,168,29605.28,12456.28,1096.4918518518518
2025-10-11,30,30,185,25909.2,10356.6,863.64
2025-10-12,32,32,194,29608.47,11303.59,925.2646875
2025-10-13,40,40,268,40746.29,13934.720000000001,1018.65725
2025-10-14,38,38,242,34703.89,13077.67,913.2602631578948
2025-10-15,27,27,179,27674.35,10112.25,1024.9759259259258
2025-10-16,34,34,206,29367.03,11262.460000000001,863.7361764705882
2025-10-17,37,37,213,28418.56,10521.11,768.0691891891893
2025-10-18,32,32,229,31737.13,11990.25,991.7853125
2025-10-19,19,19,102,18123.39,7023.67,953.8626315789473
2025-10-20,33,33,213,34674.52,12834.06,1050.7430303030303
2025-10-21,41,41,294,41703.63,15879.81,1017.1617073170731
2025-10-22,34,34,230,33508.34,12987.84,985.5394117647057
2025-10-23,28,28,204,34577.18,13420.32,1234.8992857142857
2025-10-24,23,23,129,21759.01,8065.97,946.0439130434781
2025-10-25,26,26,139,22273.82,8702.710000000001,856.6853846153846
2025-10-26,35,35,238,34416.61,12907.87,983.3317142857143
2025-10-27,25,25,159,24267.47,9384.36,970.6988
2025-10-28,30,30,194,30360.6,11908.55,1012.02
2025-10-29,35,35,206,30911.37,11703.85,883.182
2025-10-30,34,34,239,35066.61,13067.769999999999,1031.3708823529412
2025-10-31,36,36,192,29657.45,11321.69,823.8180555555556
2025-11-01,30,30,220,36382.89,14353.36,1212.763
2025-11-02,38,37,239,39302.11,15090.59,1034.266052631579
2025-11-03,30,30,147,22316.34,7797.300000000001,743.878
2025-11-04,34,34,166,28215.12,10982.25,829.8564705882353
2025-11-05,27,27,163,25649.17,10220.42,949.9692592592592
2025-11-06,24,24,111,16806.16,6221.35,700.2566666666667
2025-11-07,30,30,178,28659.899999999998,10605.32,955.3299999999999
2025-11-08,36,36,203,31787.86,12081.29,882.9961111111111
2025-11-09,19,19,124,16554.54,6608.69,871.2915789473685
2025-11-10,28,28,184,28046.54,10806.84,1001.6621428571428
2025-11-11,39,39,266,42445.18,16604.98,1088.3379487179486
2025-11-12,34,34,199,31964.93,11633.15,940.145
2025-11-13,26,26,161,25732.72,8916.49,989.72
2025-11-14,33,33,181,29834.12,11038.74,904.0642424242424
2025-11-15,31,31,193,27061.52,10231.27,872.9522580645162
2025-11-16,24,24,123,21396.22,8741.61,891.5091666666667
2025-11-17,23,23,129,17036.34,6362.81,740.7104347826087
2025-11-18,30,30,209,33771.68,12130.470000000001,1125.7226666666668
2025-11-19,27,27,171,26755.8,10268.869999999999,990.9555555555555
2025-11-20,24,24,167,28726.79,10886.57,1196.9495833333333
2025-11-21,32,32,204,31854.88,12246.29,995.465
2025-11-22,32,32,180,26858.78,10205.32,839.336875
2025-11-23,35,35,224,36793.38,14616.41,1051.2394285714286
2025-11-24,29,29,176,28890.37,10907.67,996.2196551724138
2025-11-25,28,28,175,26552.96,10228.02,948.3199999999999
2025-11-26,25,25,181,23876.239999999998,9634.46,955.0495999999999
2025-11-27,39,38,256,37626.59,14742.91,964.7843589743588
2025-11-28,21,21,122,18039.22,6961.71,859.0104761904762
2025-11-29,20,20,127,18576.76,6563.08,928.838
2025-11-30,27,26,181,30691.62,11665.24,1136.7266666666667
2025-12-01,28,28,158,24931.079999999998,9790.03,890.3957142857142
2025-12-02,26,26,153,26334.39,10156.76,1012.8611538461538
2025-12-03,24,23,171,25157.63,8922.04,1048.2345833333334
2025-12-04,26,26,185,29224.399999999998,10603.02,1124.0153846153846
2025-12-05,24,24,144,20433.18,7634.52,851.3825
2025-12-06,29,29,217,32541.0,12751.34,1122.103448275862
2025-12-07,37,37,258,37658.58,14758.36,1017.7994594594595
2025-12-08,35,35,201,30792.16,11756.92,879.776
2025-12-09,38,38,269,39942.79,15112.89,1051.126052631579
2025-12-10,31,31,189,28746.98,11314.19,927.3219354838709
2025-12-11,31,31,223,39492.340000000004,15634.93,1273.9464516129033
2025-12-12,28,28,160,21907.99,8755.41,782.4282142857144
2025-12-13,31,30,178,32593.59,12148.02,1051.4061290322581
2025-12-14,25,25,151,24700.61,10105.57,988.0244
2025-12-15,31,31,182,28582.22,10563.6,922.0070967741935
2025-12-16,25,25,153,21771.6,8300.77,870.8639999999999
2025-12-17,27,27,164,26308.920000000002,10269.720000000001,974.4044444444445
2025-12-18,36,36,190,29068.420000000002,10720.560000000001,807.4561111111111
2025-12-19,33,33,208,31478.84,12259.76,953.9042424242424
2025-12-20,26,26,169,24916.87,9288.45,958.3411538461538
2025-12-21,37,37,234,35411.94,12971.47,957.0794594594595
2025-12-22,17,17,105,13806.42,4969.78,812.1423529411765
2025-12-23,31,31,190,29400.13,10691.16,948.3912903225806
2025-12-24,30,30,166,23643.74,7820.52,788.1246666666667
2025-12-25,34,34,222,34326.55,12809.32,1009.604411764706
2025-12-26,34,34,253,38873.64,14140.75,1143.3423529411764
2025-12-27,14,14,86,15052.23,5557.78,1075.1592857142857
2025-12-28,32,32,197,30626.55,11549.28,957.0796875
2025-12-29,22,22,132,19682.079999999998,7509.37,894.6399999999999
2025-12-30,35,35,205,29703.05,11486.82,848.6585714285715
2025-12-31,23,23,123,17890.47,6404.16,777.8465217391305
2026-01-01,39,39,261,37292.44,14090.220000000001,956.2164102564103
2026-01-02,35,34,208,32038.54,11891.79,915.3868571428571
2026-01-03,27,27,185,24267.78,8930.54,898.8066666666666
2026-01-04,32,32,236,34020.98,12535.43,1063.155625
2026-01-05,29,29,193,31936.37,12343.64,1101.2541379310344
2026-01-06,34,34,196,28423.97,10296.560000000001,835.9991176470588
2026-01-07,17,17,108,14494.0,5383.3,852.5882352941177
2026-01-08,29,29,155,23392.170000000002,8956.640000000001,806.626551724138
2026-01-09,42,42,276,42770.82,16029.43,1018.3528571428571
2026-01-10,29,29,205,30741.27,10737.24,1060.0437931034483
2026-01-11,29,29,159,24663.84,8832.14,850.4772413793104
2026-01-12,30,30,182,30202.21,11748.53,1006.7403333333333
2026-01-13,30,30,206,32950.48,11944.130000000001,1098.3493333333333
2026-01-14,37,37,269,42144.85,16279.150000000001,1139.05
2026-01-15,37,37,237,34338.58,13511.05,928.0697297297298
2026-01-16,22,22,132,19454.16,7214.139999999999,884.28
2026-01-17,32,32,228,34574.99,13850.93,1080.4684375
2026-01-18,19,19,115,15631.21,5831.79,822.6952631578947
2026-01-19,31,31,190,27242.3,10036.82,878.7838709677419
2026-01-20,25,25,172,24553.44,9019.72,982.1375999999999
2026-01-21,29,29,197,29979.42,11936.92,1033.7731034482758
2026-01-22,31,31,183,26561.6,9383.28,856.8258064516128
2026-01-23,28,28,195,29293.94,10988.68,1046.212142857143
2026-01-24,23,23,158,25008.78,10014.2,1087.3382608695651
2026-01-25,26,26,149,21833.37,8382.52,839.745
2026-01-26,29,29,190,26849.58,10061.960000000001,925.8475862068966
2026-01-27,31,31,165,24013.11,8813.35,774.6164516129032
2026-01-28,30,30,217,36591.34,14508.18,1219.7113333333332
2026-01-29,30,30,198,29934.29,11151.86,997.8096666666667
2026-01-30,32,32,234,30941.51,11693.36,966.9221875
2026-01-31,37,37,249,38677.02,14622.800000000001,1045.3248648648648
2026-02-01,19,19,140,18311.03,6925.61,963.7384210526316
2026-02-02,27,27,204,31937.54,12637.62,1182.871851851852
2026-02-03,26,26,141,20740.73,7980.52,797.7203846153845
2026-02-04,31,31,194,29304.329999999998,11334.8,945.3009677419354
2026-02-05,31,31,165,24825.22,9575.789999999999,800.8135483870968
2026-02-06,26,26,164,24091.579999999998,9265.02,926.5992307692306
2026-02-07,24,24,132,20471.87,7657.700000000001,852.9945833333333
2026-02-08,20,20,127,19806.2,8052.21,990.3100000000001
2026-02-09,30,30,179,23448.46,8953.36,781.6153333333333
2026-02-10,26,26,156,25569.78,10043.15,983.4530769230769
2026-02-11,31,31,187,26387.78,9890.24,851.2187096774193
2026-02-12,24,23,134,23104.68,8615.92,962.695
2026-02-13,29,29,204,28560.87,10432.68,984.8575862068965
2026-02-14,32,32,211,35912.76,14063.85,1122.27375
2026-02-15,20,20,131,18167.64,6520.7699999999995,908.382
2026-02-16,23,23,129,18887.53,7186.6,821.196956521739
2026-02-17,35,35,221,31851.68,12148.279999999999,910.048
2026-02-18,24,24,141,20170.3,7474.69,840.4291666666667
2026-02-19,34,34,236,39267.06,15664.32,1154.9135294117646
2026-02-20,24,24,130,20486.739999999998,7794.74,853.6141666666666
2026-02-21,25,25,192,27342.78,10075.02,1093.7112
2026-02-22,39,39,232,37244.91,13478.730000000001,954.9976923076924
2026-02-23,33,33,170,26229.899999999998,10086.65,794.8454545454545
2026-02-24,37,37,229,38457.56,15079.26,1039.3935135135134
2026-02-25,30,30,215,35237.69,13529.23,1174.5896666666667
2026-02-26,24,24,123,14785.25,5759.46,616.0520833333334
2026-02-27,25,25,165,25341.420000000002,8916.27,1013.6568000000001
2026-02-28,37,37,203,35533.74,13797.17,960.3713513513513
2026-03-01,34,34,181,29420.66,10772.16,865.3135294117646
2026-03-02,27,27,157,22541.92,9040.69,834.8859259259259
2026-03-03,25,25,144,21589.829999999998,7846.83,863.5931999999999
2026-03-04,25,25,160,22477.26,7750.69,899.0903999999999
2026-03-05,30,30,177,29629.52,11859.33,987.6506666666667
2026-03-06,28,28,177,29265.25,11386.82,1045.1875
2026-03-07,31,30,202,33480.2,13163.13,1080.0064516129032
2026-03-08,22,22,131,20121.69,7457.13,914.6222727272726
2026-03-09,33,33,182,29504.96,11453.51,894.0896969696969
2026-03-10,26,26,186,27944.95,11075.53,1074.8057692307693
2026-03-11,35,35,237,36475.0,14111.14,1042.142857142857
2026-03-12,26,26,152,25947.32,10310.32,997.9738461538461
2026-03-13,22,22,132,22004.46,8403.38,1000.2027272727272
2026-03-14,19,19,120,18653.010000000002,7532.58,981.7373684210528
2026-03-15,32,32,232,38987.22,14863.800000000001,1218.350625
2026-03-16,41,41,257,41658.72,16261.26,1016.0663414634147
2026-03-17,29,29,189,29228.17,11579.42,1007.8679310344827
2026-03-18,34,34,233,35272.38,13690.75,1037.4229411764704
2026-03-19,25,25,159,24569.08,9156.75,982.7632000000001
